У жирафа передние ноги длиннее задних	Они одинаковой длины
Собаки различают только белый и черный цвета	Это правда!
Муравей живет 20 лет	Это правда!
Самый сладкий сок деревьев у березы	Самый сладкий сок деревьев у клена
Синий кит весит 200 тонн	Это правда!
Второе название Джоконды – Мона Лиза	Это правда!
В Антарктиде 10 рек	В Антарктиде нет ни одной реки
Самая высокая трава на Земле – бамбук	Это правда!
Кенгуру в переводе с языка аборигенов Австралии означает «не понимаю»	Это правда!
Самая маленькая в мире собака принадлежит к породе пекиннес	Самая маленькая в мире собака принадлежит к породе чихуахуа
Туманным Альбионом называют Швецию	Англия - туманный Альбион
У бабочки орган вкуса находится на ногах	Это правда!
Канарейку назвали канарейкой потому, что ее привезли с Канарских островов	Это правда!
Парламент в США называется Думой	Сенат - парламент в США
Страус не умеет летать	Это правда!
У осьминога кровь зеленого цвета	У осьминога кровь голубого цвета
Одна из стадий развития насекомых называется погремушка	Одна из стадий развития насекомых называется куколка
Весь живой мир на Земле делится на царства	Это правда!
У гороха плод называется боб	Это правда!
Скрипки делают из дуба	Скрипки делают из сосны
По одной из легенд, Минск назвали в честь богатыря Менеска	Это правда!
Индийский слон – самое крупное из современных сухопутных животных	Африканский, не индийский слон -самое крупное из современных сухопутных животных
Любимого коня Александра Македонского звали Буцефал	Это правда!
Лучшего друга Тома Сойера звали Гекльберри Финн	Это правда!
Любимое выражение Карлсона – «Спокойствие, только спокойствие»	Это правда!
Карлик Нос – персонаж сказки «Волшебник Изумрудного города»	Карлик Нос - герой сказки В.Гауфа
Балаболки – это народное название цветка колокольчика	Это правда!
Сказку «Аленький цветочек» написал А.С.Пушкин	«Аленький цветочек» написал Аксаков
В Японии ученики на доске пишут кисточкой с цветными чернилами	Это правда!
Авторучка была изобретена еще в Древнем Египте	Это правда!
Если пчела ужалит кого-либо, то она погибнет	Это правда!
На зиму пингвины улетают на север	Пингвины не умеют летать
Утром человек выше ростом, чем вечером	Это правда!
Дельфины — это маленькие киты	Это правда!
Рог носорога обладает магической силой	Магии не существует, к сожалению(
