,0,1
Москва,11514330,"Москва (произношение (инф.)) — столица Российской Федерации, город федерального значения, административный центр Центрального федерального округа и центр Московской области, в состав которой не входит. Крупнейший по численности населения город России и её субъект — 12 506 468[2] чел. (2018), самый населённый из городов, полностью расположенных в Европе, входит в первую десятку городов мира по численности населения[5], крупнейший русскоязычный город в мире. Центр Московской городской агломерации."
Санкт-Петербург,4848742,"Санкт-Петербург[7] (с 18 [31] августа 1914 года до 26 января 1924 года — Петроград, с 26 января 1924 года до 6 сентября 1991 года[3] — Ленинград) — второй по численности населения город России. Город федерального значения. Административный центр Северо-Западного федерального округа и Ленинградской области. Основан 16 (27) мая 1703 года Петром I. В 1712—1918 годах являлся столицей Российского государства[8][9]."
Новосибирск,1498921,"Новосибирск (произношение (инф.); до 1926 года — Ново-Николаевск) — третий по численности населения город России. Образует городской округ, являющийся самым населённым муниципальным образованием в стране."
Екатеринбург,1377738,"Екатеринбург (с 1924 по 1991 год — Свердловск) — город в России, административный центр Уральского федерального округа и Свердловской области[5]. Образует муниципальное образование город Екатеринбург со статусом городского округа[6]. Является крупнейшим административным, культурным, научно-образовательным центром Урала."
Нижний Новгород,1250615,"Нижний Новгород[9] (в разговорной речи часто — Нижний[10], с 1932 по 1990 год — Горький) — город в центральной России, административный центр Приволжского федерального округа и Нижегородской области. Крупнейший по численности населения город в Приволжском федеральном округе и на реке Волге. Основан, предположительно, 4 [10] февраля 1221 года[11] владимирским князем Юрием Всеволодовичем."
Казань,1216965,"Казань (тат. Казан) — город в Российской Федерации, столица Республики Татарстан, крупный порт на левом берегу реки Волги, при впадении в неё реки Казанки. Один из крупнейших религиозных, экономических, политических, научных, образовательных, культурных и спортивных центров России. Казанский кремль входит в число объектов Всемирного наследия ЮНЕСКО."
Самара,1164900,"Самара — город в Среднем Поволжье России, центр Поволжского экономического района и Самарской области, образует городской округ Самара. Город трудовой и боевой славы[5] (2016)."
Омск,1154000,"Омск — один из крупнейших городов России, расположенный на слиянии рек Иртыш и Омь, крупный научный.mw-parser-output .ts-Переход img{margin-left:.285714em}, культурный, спортивный и промышленный центр. Город трудовой славы[5]. Город-миллионник (1 172 070[3] человек на 2018 год), второй по численности населения в Сибири и восьмой в России. Крупный транспортный узел: с запада на восток через город проходит железнодорожная Транссибирская магистраль, а с юга на север — судоходная река Иртыш."
Челябинск,1130273,"Челябинск (произношение (инф.)) — седьмой по количеству жителей, четырнадцатый по занимаемой площади город Российской Федерации, административный центр Челябинской области, городской округ с внутригородским делением[7]. Население — 1 202 371[5] человек (2018) .mw-parser-output .ts-Переход img{margin-left:.285714em}. Челябинск расположен на геологической границе Урала и Сибири, на восточном склоне Уральских гор, по обоим берегам реки Миасс (бассейн Тобола)[4] ."
Ростов-на-Дону,1091544,"Ростов-на-Дону (в разговорной речи часто — Ростов) — крупнейший город на юге Российской Федерации, административный центр Южного федерального округа и Ростовской области. Город воинской славы (2008)[6]."
